"","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"2359208",4,30,3,754,800,1005,1016,"CO",659,"N15710",191,196,173,-11,-6,"DCA","IAH",1208,7,11,0,"",0,NA,NA,NA,NA,NA
"6855677",12,18,4,1445,1410,2127,2051,"NW",298,"N353NB",222,221,175,36,35,"LAS","IND",1591,9,38,0,"",0,0,0,21,0,15
"3987699",7,24,4,1302,1223,1517,1437,"FL",572,"N286AT",135,134,100,40,39,"EWR","ATL",745,19,16,0,"",0,0,0,1,0,39
"6709894",12,14,7,1200,1145,1533,1509,"US",45,"N906AW",393,384,373,24,15,"PHX","KOA",2860,2,18,0,"",0,15,0,9,0,0
"6940663",12,2,2,1554,1425,1812,1705,"AA",2331,"N555AA",138,160,113,67,89,"ORD","DFW",802,14,11,0,"",0,67,0,0,0,0
"2389310",5,3,6,851,855,1225,1230,"WN",3290,"N307SW",154,155,143,-5,-4,"MCI","TPA",1048,3,8,0,"",0,NA,NA,NA,NA,NA
"2679012",5,28,3,1256,1300,1426,1432,"US",2035,"N769US",90,92,71,-6,-4,"BOS","DCA",399,10,9,0,"",0,NA,NA,NA,NA,NA
"1471730",3,27,4,1521,1530,1738,1739,"US",206,"N818AW",77,69,48,-1,-9,"PHX","ABQ",328,6,23,0,"",0,NA,NA,NA,NA,NA
"5650071",10,27,1,1338,1339,1640,1638,"US",75,"N680AW",182,179,148,2,-1,"PHX","SEA",1107,9,25,0,"",0,NA,NA,NA,NA,NA
"1051641",2,10,7,1252,1245,1403,1342,"9E",5909,"88479E",131,117,96,21,7,"CLT","MEM",512,17,18,0,"",0,0,0,14,0,7
"1619665",3,23,7,1507,1448,1636,1608,"NW",788,"N676MC",89,80,52,28,19,"MKE","MSP",297,5,32,0,"",0,0,0,9,0,19
"6925707",12,23,2,1705,1555,2045,1935,"AA",1476,"N227AA",160,160,138,70,70,"DFW","DCA",1192,5,17,0,"",0,70,0,0,0,0
"6468778",12,4,4,704,705,813,815,"WN",443,"N219WN",69,70,53,-2,-1,"DAL","MAF",319,3,13,0,"",0,NA,NA,NA,NA,NA
"5604157",10,23,4,1006,1013,1058,1111,"UA",748,"N461UA",52,58,33,-13,-7,"SFO","RNO",192,4,15,0,"",0,NA,NA,NA,NA,NA
"5333320",9,5,5,1535,1540,1719,1707,"B6",346,"N563JB",104,87,40,12,-5,"JFK","BOS",187,10,54,0,"",0,NA,NA,NA,NA,NA
"5506216",10,5,7,2137,2145,2239,2255,"YV",2791,"N77260",62,70,49,-16,-8,"LAS","FAT",258,3,10,0,"",0,NA,NA,NA,NA,NA
"2134948",4,21,1,1741,1745,1907,1912,"F9",406,"N944FR",146,147,130,-5,-4,"DEN","LAX",862,8,8,0,"",0,NA,NA,NA,NA,NA
"812273",2,10,7,555,600,913,924,"UA",46,"N548UA",138,144,115,-11,-5,"LAX","DEN",862,11,12,0,"",0,NA,NA,NA,NA,NA
"2427938",5,14,3,1242,1240,1328,1340,"WN",1235,"N686SW",46,60,35,-12,2,"TPA","FLL",197,3,8,0,"",0,NA,NA,NA,NA,NA
"3633916",7,11,5,1212,1210,1406,1420,"WN",3949,"N448WN",114,130,102,-14,2,"SEA","SJC",697,2,10,0,"",0,NA,NA,NA,NA,NA
"2412266",5,10,6,700,700,757,755,"WN",1033,"N441WN",57,55,44,2,0,"HOU","DAL",239,4,9,0,"",0,NA,NA,NA,NA,NA
"1866497",4,25,5,702,700,823,830,"WN",72,"N287WN",81,90,58,-7,2,"SLC","DEN",391,5,18,0,"",0,NA,NA,NA,NA,NA
"1072600",2,5,2,2328,2105,17,2205,"AA",1069,"N432AA",109,120,89,132,143,"DFW","DEN",641,5,15,0,"",0,0,0,0,0,132
"4596206",8,8,5,1236,1237,1405,1407,"FL",428,"N895AT",89,90,70,-2,-1,"BTV","BWI",408,10,9,0,"",0,NA,NA,NA,NA,NA
"2692941",5,19,1,2111,2115,2256,2312,"DL",842,"N920DE",105,117,85,-16,-4,"ATL","DTW",594,5,15,0,"",0,NA,NA,NA,NA,NA
"5218539",9,6,6,1556,1600,1730,1740,"MQ",4574,"N724AE",94,100,79,-10,-4,"BOS","DCA",399,3,12,0,"",0,NA,NA,NA,NA,NA
"896590",2,19,2,1246,1250,1305,1312,"DL",1796,"N997DL",79,82,58,-7,-4,"SLC","LAS",368,5,16,0,"",0,NA,NA,NA,NA,NA
"565832",1,31,4,1729,1610,2051,1937,"CO",1855,"N14652",142,147,116,74,79,"IAH","MIA",964,9,17,0,"",0,30,0,0,0,44
"5606036",10,4,6,823,815,1035,1041,"UA",842,"N520UA",252,266,235,-6,8,"ORD","LAX",1745,6,11,0,"",0,NA,NA,NA,NA,NA
"5946139",11,4,2,1546,1550,2038,2050,"WN",1294,"N410WN",172,180,157,-12,-4,"SAN","MCI",1333,6,9,0,"",0,NA,NA,NA,NA,NA
"1696737",3,31,1,1257,1300,1430,1410,"AA",1701,"N598AA",213,190,173,20,-3,"DFW","SAN",1171,8,32,0,"",0,0,0,20,0,0
"200651",1,20,7,1844,1850,2232,2221,"OO",6604,"N752SK",168,151,125,11,-6,"DEN","BHM",1082,4,39,0,"",0,NA,NA,NA,NA,NA
"5904341",10,27,1,1544,1549,11,2358,"CO",386,"N17730",327,309,312,13,-5,"SNA","EWR",2433,7,8,0,"",0,NA,NA,NA,NA,NA
"1225915",3,18,2,1818,1820,1921,1930,"WN",428,"N714CB",63,70,46,-9,-2,"LAS","PHX",256,8,9,0,"",0,NA,NA,NA,NA,NA
"6108222",11,17,1,1228,1230,1352,1359,"OO",5751,"N224SW",84,89,63,-7,-2,"SFO","LMT",315,3,18,0,"",0,NA,NA,NA,NA,NA
"3964074",7,14,1,1126,1130,1221,1224,"F9",777,"N905FR",115,114,93,-3,-4,"DEN","LAS",629,7,15,0,"",0,NA,NA,NA,NA,NA
"5133290",9,2,2,1224,1229,1451,1450,"EV",4510,"N981EV",147,141,124,1,-5,"ATL","SWF",784,3,20,0,"",0,NA,NA,NA,NA,NA
"1581520",3,7,5,1650,1655,1826,1825,"MQ",3930,"N689EC",96,90,65,1,-5,"ORD","OMA",416,4,27,0,"",0,NA,NA,NA,NA,NA
"5860664",10,20,1,1144,835,1205,905,"AA",1695,"N4YSAA",141,150,124,180,189,"DFW","PHX",868,4,13,0,"",0,180,0,0,0,0
"4107393",7,21,1,754,755,924,925,"AA",544,"N426AA",150,150,114,-1,-1,"EWR","ORD",719,11,25,0,"",0,NA,NA,NA,NA,NA
"6080910",11,13,4,1458,1500,1625,1638,"OH",6336,"N796CA",87,98,69,-13,-2,"CVG","ORF",485,5,13,0,"",0,NA,NA,NA,NA,NA
"1428294",3,12,3,2000,2009,2119,2130,"UA",1174,"N302UA",79,81,61,-11,-9,"LAX","SFO",337,7,11,0,"",0,NA,NA,NA,NA,NA
"5687341",10,4,6,1449,1434,1535,1538,"EV",5153,"N760EV",46,64,31,-3,15,"TYS","ATL",152,8,7,0,"",0,NA,NA,NA,NA,NA
"1008785",2,11,1,1711,1715,1849,1909,"NW",303,"N586NW",218,234,194,-20,-4,"MSP","LAX",1536,9,15,0,"",0,NA,NA,NA,NA,NA
"2389989",5,3,6,1225,1225,1423,1425,"WN",1726,"N210WN",58,60,44,-2,0,"PHX","ABQ",328,5,9,0,"",0,NA,NA,NA,NA,NA
"5483841",10,26,7,1704,1710,1836,1853,"XE",2825,"N13995",152,163,129,-17,-6,"EWR","BNA",748,6,17,0,"",0,NA,NA,NA,NA,NA
"754363",2,12,2,NA,1300,NA,1409,"OH",5018,"",NA,69,NA,NA,NA,"DTW","CVG",229,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"6332842",11,1,6,757,800,1133,1146,"NW",1276,"N313US",156,166,133,-13,-3,"BOI","MSP",1142,11,12,0,"",0,NA,NA,NA,NA,NA
"2962928",5,4,7,654,700,910,913,"CO",1491,"N76354",196,193,160,-3,-6,"EWR","OMA",1133,4,32,0,"",0,NA,NA,NA,NA,NA
"237155",1,12,6,914,915,1032,1058,"UA",637,"N519UA",138,163,112,-26,-1,"EWR","ORD",719,6,20,0,"",0,NA,NA,NA,NA,NA
"4064069",7,5,6,2003,1852,2122,2019,"NW",945,"N326NB",79,87,58,63,71,"MEM","MCI",392,7,14,0,"",0,0,63,0,0,0
"1411146",3,14,5,1620,1625,1809,1829,"UA",439,"N848UA",229,244,211,-20,-5,"BWI","DEN",1491,7,11,0,"",0,NA,NA,NA,NA,NA
"1249801",3,25,2,2044,2025,2241,2230,"WN",959,"N312SW",57,65,43,11,19,"MDW","DTW",229,4,10,0,"",0,NA,NA,NA,NA,NA
"4337118",8,21,4,934,941,1234,1245,"XE",2580,"N13989",120,124,107,-11,-7,"MKE","EWR",725,5,8,0,"",0,NA,NA,NA,NA,NA
"5587038",10,13,1,2225,2230,637,656,"UA",166,"N527UA",312,326,285,-19,-5,"LAX","BOS",2611,11,16,0,"",0,NA,NA,NA,NA,NA
"6090467",11,24,1,1526,1455,1629,1605,"OO",2828,"N506CA",63,70,45,24,31,"MSP","MKE",297,4,14,0,"",0,0,0,0,0,24
"2511613",5,5,1,1925,1855,2110,2034,"XE",2218,"N14950",105,99,45,36,30,"EWR","RIC",278,3,57,0,"",0,0,0,6,0,30
"6564005",12,21,7,NA,1350,NA,1725,"XE",2447,"",NA,155,NA,NA,NA,"STL","EWR",872,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"1002902",2,6,3,1417,1255,1614,1500,"MQ",4880,"N717AE",117,125,101,74,82,"LGA","DTW",501,5,11,0,"",0,46,0,0,0,28
"3048710",6,18,3,1151,1150,1619,1630,"WN",2493,"N514SW",148,160,137,-11,1,"PHX","MCI",1044,4,7,0,"",0,NA,NA,NA,NA,NA
"6953058",12,27,6,614,620,918,910,"AS",477,"N756AS",184,170,161,8,-6,"LAX","SEA",954,5,18,0,"",0,NA,NA,NA,NA,NA
"6129036",11,4,2,1124,1125,NA,1237,"OO",7788,"N560SW",NA,72,NA,NA,-1,"SLC","SUN",223,NA,19,0,"",1,NA,NA,NA,NA,NA
"1062534",2,12,2,1246,1250,1538,1530,"AA",526,"N3ASAA",112,100,94,8,-4,"MSY","MIA",674,6,12,0,"",0,NA,NA,NA,NA,NA
